Date,count,rolling mean,Sentiment Polarity
2016-07-03,14.0,11.6,0.052189625850340156
2016-07-04,8.0,10.6,0.017708333333333343
2016-07-05,13.0,10.5,0.18695492007992007
2016-07-06,5.0,10.5,0.048452380952380955
2016-07-07,16.0,10.4,0.04523011363636365
2016-07-08,6.0,10.4,0.1284722222222222
2016-07-09,6.0,9.9,-0.11388888888888889
2016-07-10,2.0,9.2,0.42272727272727273
2016-07-11,4.0,8.4,-0.18312499999999998
2016-07-12,4.0,7.8,0.25
2016-07-13,14.0,7.8,0.03684098639455783
2016-07-14,15.0,8.5,-0.002607323232323224
2016-07-15,6.0,7.8,0.15457702020202022
2016-07-16,4.0,7.7,0.196875
2016-07-17,7.0,6.8,0.05475782484711056
2016-07-18,17.0,7.9,0.23793183940242765
2016-07-19,6.0,7.9,0.2445138888888889
2016-07-20,7.0,8.4,0.32087301587301587
2016-07-21,8.0,8.8,0.31609375
2016-07-22,17.0,10.1,0.42620320855614974
2016-07-23,7.0,9.4,0.3814935064935065
2016-07-24,16.0,9.5,-0.030742187499999983
2016-07-25,18.0,10.7,0.0048308147613703185
2016-07-26,18.0,12.1,0.03896429573512908
2016-07-27,15.0,12.9,-0.10567957351290683
2016-07-28,19.0,13.1,0.0986636791571002
2016-07-29,17.0,14.2,0.2564824717765894
2016-07-30,28.0,16.3,-0.0633270202020202
2016-07-31,26.0,18.1,-0.0022306801994301925
2016-08-01,5.0,16.9,-0.21666666666666665
2016-08-02,22.0,18.4,-0.05635371572871573
2016-08-03,14.0,18.2,0.11140873015873017
2016-08-04,7.0,17.1,0.19583333333333336
2016-08-05,5.0,15.8,0.4
2016-08-06,11.0,15.4,-0.07499999999999998
2016-08-07,8.0,14.3,-0.07824675324675325
2016-08-08,7.0,13.3,-0.011929112554112553
2016-08-09,13.0,11.8,0.06803613053613054
2016-08-10,11.0,10.3,0.3170725108225108
2016-08-11,15.0,11.3,0.0012962962962962973
2016-08-12,4.0,9.5,0.325
2016-08-13,10.0,9.1,-0.09508333333333334
2016-08-14,8.0,9.2,0.19192313762626265
2016-08-15,8.0,9.5,-0.1977864583333334
2016-08-16,5.0,8.9,0.012619047619047622
2016-08-17,4.0,8.5,-0.032812499999999994
2016-08-18,10.0,8.8,0.09281818181818183
2016-08-19,3.0,7.8,0.0
2016-08-20,8.0,7.5,0.38333333333333336
2016-08-21,9.0,6.9,0.12449494949494949
2016-08-22,4.0,6.9,0.465625
2016-08-23,13.0,7.2,0.16006163708086787
2016-08-24,8.0,7.2,-0.019628201659451658
2016-08-25,8.0,7.2,0.28265467171717173
2016-08-26,10.0,7.7,0.08193981481481483
2016-08-27,19.0,9.2,0.1087227538543328
2016-08-28,8.0,9.0,0.07381628787878788
2016-08-29,9.0,9.6,0.1376851851851852
2016-08-30,11.0,9.9,-0.2064015151515151
2016-08-31,6.0,9.6,0.028125
2016-09-01,5.0,9.7,0.23609090909090907
2016-09-02,15.0,9.9,0.3533863636363636
2016-09-03,5.0,9.6,0.2094621212121212
2016-09-04,5.0,9.3,0.09693073593073595
2016-09-05,9.0,9.2,0.04715277777777777
2016-09-06,11.0,8.4,0.09929752066115705
2016-09-07,10.0,8.6,0.11103968253968255
2016-09-08,7.0,8.4,0.05066137566137565
2016-09-09,13.0,8.6,0.2856730769230769
2016-09-10,10.0,9.0,0.21081249999999999
2016-09-11,12.0,9.7,0.16307475799663299
2016-09-12,2.0,8.4,0.004166666666666668
2016-09-13,3.0,8.2,0.16145833333333334
2016-09-14,9.0,8.6,0.04532828282828282
2016-09-15,12.0,8.9,0.20303030303030303
2016-09-16,15.0,9.3,0.41796717171717174
2016-09-17,6.0,8.9,0.2380681818181818
2016-09-18,14.0,9.6,0.047371031746031765
2016-09-19,3.0,8.6,0.5
2016-09-20,9.0,8.5,0.26990740740740743
2016-09-21,10.0,8.3,0.18681818181818183
2016-09-22,7.0,8.8,0.1715290661719233
2016-09-23,5.0,9.0,0.24000000000000005
2016-09-24,7.0,8.8,0.14067460317460317
2016-09-25,7.0,8.3,0.18459112811791384
2016-09-26,4.0,7.2,-0.04687499999999997
2016-09-27,6.0,7.2,0.08188131313131312
2016-09-28,51.0,10.9,0.10378226416829357
2016-09-29,9.0,11.5,0.16060606060606059
2016-09-30,8.0,11.4,0.16136363636363638
2016-10-01,12.0,11.6,-0.07619543650793649
2016-10-02,6.0,11.5,-0.08062499999999996
2016-10-03,6.0,11.6,0.023611111111111114
2016-10-04,3.0,11.2,0.016666666666666666
2016-10-05,8.0,11.3,0.045928030303030325
2016-10-06,60.0,16.9,0.10829251843835178
2016-10-07,13.0,17.6,0.16234265734265735
2016-10-08,2.0,12.7,0.08333333333333333
2016-10-09,5.0,12.3,-0.22551587301587298
2016-10-10,13.0,12.8,-0.03167735042735044
2016-10-11,62.0,17.8,0.021853213151096212
2016-10-12,17.0,18.9,0.06000729458450045
2016-10-13,8.0,19.1,-0.009765624999999998
2016-10-14,11.0,19.9,0.12700585399449035
2016-10-15,4.0,19.5,0.07378472222222222
2016-10-16,13.0,14.8,0.2329933954933955
2016-10-17,19.0,15.4,-0.007092668540036981
2016-10-18,23.0,17.5,0.07419029842942886
2016-10-19,13.0,18.3,0.07767094017094017
2016-10-20,20.0,19.0,0.01489583333333333
2016-10-21,87.0,21.5,0.08777056277056278
2016-10-22,12.0,21.0,0.25656565656565655
2016-10-23,16.0,21.8,0.1391122159090909
2016-10-24,12.0,21.9,-0.009424603174603178
2016-10-25,18.0,23.3,0.15265151515151518
2016-10-26,20.0,24.0,0.16666666666666669
2016-10-27,3.0,22.4,-0.03333333333333333
2016-10-28,20.0,22.1,0.08264069264069264
2016-10-29,10.0,21.8,-0.21670454545454546
2016-10-30,10.0,20.8,0.10384334415584415
2016-10-31,9.0,13.0,0.30641835016835023
2016-11-01,8.0,12.6,0.29786931818181817
2016-11-02,14.0,12.4,0.08950371057513914
2016-11-03,14.0,12.6,0.2358910533910534
2016-11-04,10.0,11.8,0.2686931818181818
2016-11-05,13.0,11.1,0.0491006216006216
2016-11-06,9.0,11.7,0.3818181818181818
2016-11-07,10.0,10.7,0.28039772727272727
2016-11-08,13.0,11.0,0.16902680652680652
2016-11-09,17.0,11.7,0.31033338903743324
2016-11-10,3.0,11.1,0.21510416666666665
2016-11-11,1.0,10.4,1.0
2016-11-12,5.0,9.5,0.2589659090909091
2016-11-13,1.0,8.2,0.8500000000000001
2016-11-15,8.0,8.0,0.2892559523809525
2016-11-16,2.0,6.9,0.15333333333333335
2016-11-17,5.0,6.5,0.1590909090909091
2016-11-18,1.0,5.6,0.4125
